"id","userName","userFirstName","userLastName","userGender","userEmail","userPhoneNumber","userAddressLine1","userAddressLine2","userCity","userState","userZip","isPlayer","isCoach","isMgmt"
"1","mfreeman0","Marilyn","Freeman","F","mfreeman0@typepad.com","621-103-6748","78 Coleman Trail","","Johnstown","PA","15906","True","False","True"
"2","arobertson1","Arthur","Robertson","M","arobertson1@example.com","382-686-8218","35 Blaine Road","","San Jose","CA","95108","False","True","False"
"3","ckelly2","Charles","Kelly","M","ckelly2@discuz.net","876-452-4235","6 Mallard Terrace","","Idaho Falls","ID","83405","False","False","True"
"4","egibson3","Emily","Gibson","F","egibson3@example.com","333-211-7585","3169 Mariners Cove Plaza","Apt. 4709","Asheville","NC","28805","True","True","False"
"5","astevens4","Andrew","Stevens","M","astevens4@devhub.com","891-230-5492","2 Messerschmidt Terrace","","San Francisco","CA","94164","False","True","False"
"6","rwells5","Roy","Wells","M","rwells5@addthis.com","324-473-6677","02043 Gina Center","","Lafayette","LA","70505","False","True","False"
"7","mhudson6","Marie","Hudson","F","mhudson6@themeforest.net","435-608-7524","9336 Myrtle Road","","Lakeland","FL","33805","False","True","False"
"8","dperry7","Donna","Perry","F","dperry7@technorati.com","454-928-0074","325 Esker Hill","","Tucson","AZ","85754","False","False","False"
"9","jreynolds8","Jonathan","Reynolds","M","jreynolds8@t-online.de","315-393-4160","4414 Stoughton Crossing","","Louisville","KY","40210","False","True","True"
"10","hweaver9","Harry","Weaver","M","hweaver9@oakley.com","738-280-7750","5 Larry Hill","","Lakeland","FL","33811","True","False","False"
"11","jwalkera","Jerry","Walker","M","jwalkera@goo.gl","504-044-1278","1 Schmedeman Terrace","Apt. 503","Las Vegas","NV","89145","True","False","False"
"12","kbennettb","Kevin","Bennett","M","kbennettb@sbwire.com","315-344-3652","12954 Twin Pines Junction","","Columbus","OH","43226","False","True","True"
"13","agrahamc","Arthur","Graham","M","agrahamc@yale.edu","004-833-9619","8391 Arrowood Road","","Des Moines","IA","50981","False","True","True"
"14","smurrayd","Sharon","Murray","F","smurrayd@cyberchimps.com","356-659-0749","90924 Novick Terrace","","Anchorage","AK","99512","False","False","False"
"15","kschmidte","Kelly","Schmidt","F","kschmidte@altervista.org","289-948-2179","9931 Lerdahl Alley","","San Francisco","CA","94121","True","True","False"
"16","ahudsonf","Ashley","Hudson","F","ahudsonf@lycos.com","031-535-3188","1 Arapahoe Court","","Cedar Rapids","IA","52405","False","True","False"
"17","hstephensg","Henry","Stephens","M","hstephensg@unblog.fr","980-971-4793","563 Dakota Park","","Tulsa","OK","74133","True","True","False"
"18","bbryanth","Barbara","Bryant","F","bbryanth@behance.net","810-814-1912","75230 Dayton Center","","Dayton","OH","45432","False","True","False"
"19","anicholsi","Annie","Nichols","F","anicholsi@wufoo.com","240-934-0797","2 Meadow Ridge Point","","Philadelphia","PA","19120","True","True","False"
"20","psimsj","Philip","Sims","M","psimsj@ucoz.ru","017-942-3914","1 Superior Trail","Apt. 449","Huntsville","AL","35805","False","False","False"
"21","kgarciak","Kelly","Garcia","F","kgarciak@51.la","104-031-8735","53213 Little Fleur Place","","Irving","TX","75062","False","False","False"
"22","grodriguezl","George","Rodriguez","M","grodriguezl@goodreads.com","893-214-5263","517 Stuart Pass","Apt. 7018","Stamford","CT","06912","True","False","False"
"23","lwilliamsm","Louise","Williams","F","lwilliamsm@foxnews.com","504-775-3433","89 Manufacturers Drive","Apt. 9","Plano","TX","75074","False","True","False"
"24","tcrawfordn","Teresa","Crawford","F","tcrawfordn@vistaprint.com","715-516-2782","90 Elka Road","","Brooklyn","NY","11205","True","False","False"
"25","pgreeneo","Phyllis","Greene","F","pgreeneo@wisc.edu","612-322-0655","5289 Ronald Regan Trail","","Fresno","CA","93721","True","True","False"
"26","rmendozap","Ruth","Mendoza","F","rmendozap@wsj.com","056-677-6078","14 Mayer Hill","Apt. 634","Pensacola","FL","32575","False","True","True"
"27","sgutierrezq","Stephen","Gutierrez","M","sgutierrezq@bandcamp.com","822-318-1173","39728 Mcbride Parkway","Apt. 516","Gainesville","FL","32610","True","False","False"
"28","sbowmanr","Samuel","Bowman","M","sbowmanr@simplemachines.org","010-670-3769","2645 Melrose Plaza","","Alhambra","CA","91841","False","False","False"
"29","vharrisons","Victor","Harrison","M","vharrisons@people.com.cn","175-500-8127","8 3rd Pass","","Portland","OR","97221","False","True","True"
"30","scrawfordt","Shirley","Crawford","F","scrawfordt@blogger.com","733-026-8468","6 Armistice Crossing","","Fort Lauderdale","FL","33305","True","True","True"
"31","aevansu","Amy","Evans","F","aevansu@amazon.co.uk","472-150-5250","8 Namekagon Terrace","","Beaumont","TX","77705","False","True","False"
"32","mfrazierv","Marie","Frazier","F","mfrazierv@indiegogo.com","766-216-9297","9633 Eastwood Park","Apt. 57","Portsmouth","NH","00214","False","False","True"
"33","pwashingtonw","Paul","Washington","M","pwashingtonw@chron.com","941-599-3412","075 American Park","","Monticello","MN","55590","False","True","False"
"34","rporterx","Rebecca","Porter","F","rporterx@java.com","486-713-8946","7 American Ash Avenue","","Winston Salem","NC","27105","True","True","True"
"35","jpiercey","Janet","Pierce","F","jpiercey@zdnet.com","629-011-9696","9017 Fallview Junction","","Winston Salem","NC","27116","True","True","False"
"36","brobinsonz","Brenda","Robinson","F","brobinsonz@springer.com","292-463-1641","48724 Manley Street","","Denver","CO","80223","False","True","False"
"37","lhoward10","Larry","Howard","M","lhoward10@google.de","819-647-1708","5 Briar Crest Drive","","Little Rock","AR","72204","False","False","True"
"38","vkim11","Victor","Kim","M","vkim11@sitemeter.com","437-913-5252","2622 Hermina Center","","Harrisburg","PA","17126","True","True","False"
"39","khudson12","Kimberly","Hudson","F","khudson12@slideshare.net","734-323-1652","90 Thackeray Drive","Apt. 6575","Davenport","IA","52804","True","True","True"
"40","sday13","Steve","Day","M","sday13@gmpg.org","322-611-3783","2380 Summit Hill","","Sterling","VA","20167","False","False","False"
"41","whamilton14","Wayne","Hamilton","M","whamilton14@admin.ch","971-378-1043","8 Thompson Court","","Norfolk","VA","23520","False","True","False"
"42","dhowell15","Douglas","Howell","M","dhowell15@reddit.com","974-888-7840","693 John Wall Circle","Apt. 010","Philadelphia","PA","19104","False","False","False"
"43","kking16","Kathleen","King","F","kking16@liveinternet.ru","331-370-1442","8471 Scott Alley","Apt. 42","Newport News","VA","23605","True","False","True"
"44","ahudson17","Andrew","Hudson","M","ahudson17@newsvine.com","021-043-9918","043 Waywood Park","","Erie","PA","16550","True","True","False"
"45","drose18","Dennis","Rose","M","drose18@mayoclinic.com","695-439-9701","5151 Hoffman Point","","Des Moines","IA","50347","False","False","False"
"46","twebb19","Timothy","Webb","M","twebb19@dell.com","223-959-0843","3 Northridge Court","Apt. 4","Santa Barbara","CA","93111","True","True","True"
"47","malexander1a","Marilyn","Alexander","F","malexander1a@altervista.org","095-409-2257","9827 Boyd Point","","Cincinnati","OH","45223","False","True","False"
"48","krivera1b","Kimberly","Rivera","F","krivera1b@dot.gov","504-029-4021","6 Briar Crest Plaza","","Miami","FL","33261","False","True","False"
"49","dwells1c","Donald","Wells","M","dwells1c@godaddy.com","827-238-6517","516 Elmside Circle","","Kansas City","MO","64144","False","False","False"
"50","bhudson1d","Brenda","Hudson","F","bhudson1d@europa.eu","589-439-7018","5232 Sullivan Court","Apt. 6660","Greenville","SC","29615","False","True","True"
"51","pfowler1e","Pamela","Fowler","F","pfowler1e@prweb.com","971-594-3235","8 5th Court","","Glendale","CA","91205","True","False","True"
"52","dmitchell1f","Diane","Mitchell","F","dmitchell1f@xinhuanet.com","622-648-8892","0 Vera Court","","Washington","DC","20062","False","True","True"
"53","dolson1g","Diana","Olson","F","dolson1g@blog.com","292-755-6444","9472 Jackson Road","","Stamford","CT","06905","True","True","True"
"54","cthomas1h","Charles","Thomas","M","cthomas1h@cdc.gov","800-967-1983","2450 Huxley Way","Apt. 6049","Kansas City","MO","64179","False","True","True"
"55","hlittle1i","Henry","Little","M","hlittle1i@chicagotribune.com","847-249-1577","9 Coleman Hill","Apt. 74","Hattiesburg","MS","39404","True","True","True"
"56","ashaw1j","Aaron","Shaw","M","ashaw1j@wired.com","535-760-2028","77737 Prairieview Court","","Rockford","IL","61110","False","True","True"
"57","jdunn1k","Johnny","Dunn","M","jdunn1k@webnode.com","295-996-1003","7 Fairview Way","","Yakima","WA","98907","True","True","False"
"58","bgreen1l","Betty","Green","F","bgreen1l@mayoclinic.com","127-836-3031","9492 Mitchell Terrace","","Buffalo","NY","14276","False","False","False"
"59","mpatterson1m","Martha","Patterson","F","mpatterson1m@squarespace.com","649-991-8186","028 Brickson Park Park","","Galveston","TX","77554","False","False","True"
"60","lwood1n","Lawrence","Wood","M","lwood1n@theglobeandmail.com","003-429-9131","3 Kensington Parkway","","Shreveport","LA","71137","True","False","True"
"61","pbradley1o","Phyllis","Bradley","F","pbradley1o@eventbrite.com","268-587-0983","5547 Dixon Circle","Apt. 9","Raleigh","NC","27615","False","False","True"
"62","jbrown1p","Jerry","Brown","M","jbrown1p@washington.edu","978-405-3670","33 Debs Trail","","Saint Paul","MN","55146","True","True","True"
"63","jgreene1q","Jeffrey","Greene","M","jgreene1q@soup.io","385-385-8474","627 Prentice Lane","Apt. 0303","Houston","TX","77015","True","False","False"
"64","rstephens1r","Rachel","Stephens","F","rstephens1r@boston.com","998-648-0336","98 Valley Edge Plaza","Apt. 559","Fort Worth","TX","76134","True","True","True"
"65","mschmidt1s","Matthew","Schmidt","M","mschmidt1s@photobucket.com","263-378-6817","50849 Wayridge Street","","Knoxville","TN","37995","False","False","True"
"66","troberts1t","Tina","Roberts","F","troberts1t@ibm.com","360-607-2818","3 Commercial Point","","Redwood City","CA","94064","True","True","True"
"67","jcarroll1u","Jonathan","Carroll","M","jcarroll1u@com.com","362-901-3653","465 Scott Way","","Billings","MT","59112","True","True","False"
"68","jgordon1v","Judy","Gordon","F","jgordon1v@sbwire.com","459-920-1128","5 Luster Pass","Apt. 660","Cincinnati","OH","45264","False","False","False"
"69","rmason1w","Richard","Mason","M","rmason1w@linkedin.com","875-123-5885","45 Sloan Plaza","","Lexington","KY","40576","True","True","True"
"70","bjames1x","Bobby","James","M","bjames1x@bizjournals.com","819-885-4755","33 Lyons Pass","","Buffalo","NY","14276","True","False","False"
"71","lsullivan1y","Lawrence","Sullivan","M","lsullivan1y@admin.ch","923-195-3138","6855 Moose Place","","Saint Louis","MO","63167","True","True","False"
"72","sbanks1z","Sara","Banks","F","sbanks1z@oakley.com","694-338-9524","6964 Arapahoe Circle","","San Antonio","TX","78255","True","False","True"
"73","mhawkins20","Martha","Hawkins","F","mhawkins20@virginia.edu","305-249-0047","8 Larry Crossing","Apt. 5065","Las Vegas","NV","89135","True","False","True"
"74","afrazier21","Arthur","Frazier","M","afrazier21@reference.com","169-262-8514","7 Green Street","","New Orleans","LA","70116","False","True","False"
"75","sowens22","Scott","Owens","M","sowens22@si.edu","310-726-8713","6091 Laurel Court","Apt. 416","Kansas City","MO","64190","True","False","False"
"76","rreyes23","Richard","Reyes","M","rreyes23@nytimes.com","516-270-5956","65300 Melody Park","","Fort Lauderdale","FL","33330","False","True","True"
"77","dwilson24","Deborah","Wilson","F","dwilson24@lulu.com","831-435-2121","8692 Monument Parkway","Apt. 4610","Fort Myers","FL","33994","True","False","True"
"78","colson25","Carl","Olson","M","colson25@posterous.com","398-548-1506","5 Red Cloud Alley","Apt. 9","Henderson","NV","89012","False","False","True"
"79","wgrant26","Walter","Grant","M","wgrant26@timesonline.co.uk","214-524-8857","62634 South Drive","","Springfield","IL","62705","True","False","False"
"80","arussell27","Anna","Russell","F","arussell27@pen.io","443-563-3343","3507 Elgar Way","","Youngstown","OH","44511","True","False","False"
"81","gvasquez28","Gregory","Vasquez","M","gvasquez28@mail.ru","708-661-7228","9213 Killdeer Parkway","","Little Rock","AR","72215","True","True","False"
"82","mreed29","Mildred","Reed","F","mreed29@unicef.org","214-036-1542","3717 Ilene Parkway","","Norwalk","CT","06859","True","True","False"
"83","pmendoza2a","Phillip","Mendoza","M","pmendoza2a@gizmodo.com","342-063-3379","70 Judy Crossing","","Atlanta","GA","31136","False","True","False"
"84","wsimpson2b","Walter","Simpson","M","wsimpson2b@baidu.com","928-875-3433","942 Artisan Street","","Saint Cloud","MN","56372","True","True","False"
"85","bflores2c","Betty","Flores","F","bflores2c@geocities.jp","790-885-4830","91419 Reinke Center","Apt. 84","Charleston","SC","29403","False","False","True"
"86","mrice2d","Matthew","Rice","M","mrice2d@bloomberg.com","923-317-5919","56418 Arapahoe Park","Apt. 728","Waco","TX","76796","False","True","True"
"87","breid2e","Beverly","Reid","F","breid2e@addtoany.com","915-483-8044","9 Browning Park","","Des Moines","IA","50335","True","True","False"
"88","arobinson2f","Andrew","Robinson","M","arobinson2f@hostgator.com","625-275-4280","0042 Sutherland Court","","Muskegon","MI","49444","False","False","False"
"89","jpowell2g","Joyce","Powell","F","jpowell2g@mac.com","719-398-5076","35 Dixon Trail","","New York City","NY","10110","True","False","True"
"90","jburke2h","Justin","Burke","M","jburke2h@wikipedia.org","792-067-4667","18 Park Meadow Center","Apt. 12","Boston","MA","02114","True","False","True"
"91","rhicks2i","Richard","Hicks","M","rhicks2i@bigcartel.com","133-169-1565","5952 Declaration Trail","Apt. 3","Knoxville","TN","37995","True","False","False"
"92","jmendoza2j","Janet","Mendoza","F","jmendoza2j@over-blog.com","935-651-3868","2434 Grayhawk Hill","","Boise","ID","83716","True","False","True"
"93","rhudson2k","Rachel","Hudson","F","rhudson2k@wix.com","648-531-8330","5 Harper Center","","Columbia","SC","29203","True","True","False"
"94","bhoward2l","Billy","Howard","M","bhoward2l@goodreads.com","788-050-9448","38213 Pennsylvania Circle","Apt. 20","Spokane","WA","99215","True","False","False"
"95","agreene2m","Adam","Greene","M","agreene2m@livejournal.com","314-476-7097","4 Vidon Terrace","","Boston","MA","02298","False","True","True"
"96","bspencer2n","Brian","Spencer","M","bspencer2n@slashdot.org","351-502-7449","54 Hollow Ridge Plaza","","Irving","TX","75062","True","True","True"
"97","edavis2o","Elizabeth","Davis","F","edavis2o@ehow.com","315-940-8596","8 Logan Terrace","Apt. 13","Sacramento","CA","95823","True","False","False"
"98","ecrawford2p","Earl","Crawford","M","ecrawford2p@chron.com","318-279-5187","1592 Burrows Drive","Apt. 945","Brooklyn","NY","11231","True","False","False"
"99","lbishop2q","Laura","Bishop","F","lbishop2q@sphinn.com","645-376-3724","136 Stuart Road","","Katy","TX","77493","False","False","True"
"100","kbryant2r","Kimberly","Bryant","F","kbryant2r@sbwire.com","892-888-1973","09 Briar Crest Drive","","Sacramento","CA","95865","True","True","True"
""
